article,reason,comment
Wrawby,copyright,"Speedied, G11, G12, creator notified, and A7. content was: 'wrawby.org.uk supports the community print magazine, Wrawby News, produced every month to serve the residents of our village in North Lincolnshire. ...' (and the only contributor was '[[Special:C"
Air Raid (Transformers),copyright,Copyright infringement from user with history
Karapatan,copyright,"Will recreate if permission established, content was: '{{copyvio|url=http://www.philonline.com.ph/~krptn/AboutUs/profile/body_profile.html}}'"
Shanti Swarup Bhatnagar,copyright,copyvio
Steven Millhauser,copyright,deleting to remove copyvio history
CVSS,copyright,csd g12
Dragon Sun,copyright,content was: '{{copyvio|http://www.firaxis.com/smac/story.cfm}}'
Doctors of Madness,copyright,"Copyvio, listed on WP:CP since Oct 10."
James MacLaine,copyright,g12 http://www.stand-and-deliver.org.uk/highwaymen/maclaine_and_plunkett.htm
William Watts Folwell,copyright,G12 problem is that it is all derived from copyvio version
Thomas Coke (Methodist),copyright,G12 + derivatives
Vilhelm Hammershøi,copyright,G12 and derivatives
Zénobe Gramme,copyright,deleting copyvio versions
Alonzo M. Clark,copyright,g12
Bastianpillai Paul Nicholas,copyright,"Copyright violation, listed on WP:CP since Oct 13."
Alain LeRoy Locke,copyright,deleting revisions containing copyvio (from the online Encyclopedia Britannica)
Robert Strauss (actor),copyright,cleaning history to remove copyvio from alllmovie
F. Matthias Alexander,copyright,deleting copyvios
Jim Geringer,copyright,First version copied verbatim from http://wyoarchives.state.wy.us/governor/geringer.htm which is not in the public domain. All versions are copyright violations.
Jack R. Gage,copyright,First version copied verbatim from http://wyoarchives.state.wy.us/governor/gage.htm so all versions are copyright violations.
Heinrich Rohrer,copyright,Copyvio from http://www.britannica.com/eb/article-9083758/Heinrich-Rohrer
Matthew Lyle Spencer,copyright,csd g12
Jibbs,copyright,blatant copyvio as indicated in the history
Sonia Levitin,copyright,deleting to remove copyvio history
Douglas Morrow,copyright,cleaning history to remove copyvio from alllmovie
The S&M Man,copyright,lyrics are usually copyrighted
List of The Batman episodes,copyright,deleting to remove copyvio text
Alicia Warrington,copyright,CSD G12
Alvan T. Fuller,copyright,Copyright violation from http://www.mass.gov/statehouse/massgovs/afuller.htm
Charles F. Hurley,copyright,Copyvio from www.mass.gov/statehouse/massgovs/churley.htm
Radomir Putnik,copyright,copyvio from the star with some stuff taken from
S. Sylvan Simon,copyright,cleaning history to remove copyvio from alllmovie
Vipulananda,copyright,[[WP:CSD#G12|G12]]: copyvio from http://www.tamilnation.org/hundredtamils/vipulananda.htm
James Basevi,copyright,cleaning history to remove copyvio from alllmovie
Craig Shirley,copyright,csd g12
Percy Keese Fitzhugh,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week, content was: '{{copyvio|url=http://www.bridgeboro.com/index.html}}'"
Andean Wolf,copyright,db-copyvio
Luisah Teish,copyright,Delete as a copyvio.
Cleveland Way,copyright,content was: '{{copyvio|url=http://www.aboutbritain.com/articles/cleveland-way-national-trail.asp}}'
Indian Oil Corporation,copyright,"copyright violation, from http://www.copyscape.com/view.php?o=15237&u=http%3A%2F%2Fwww.iocl.com%2Fourcompany_profile.asp&t=1162623666&s=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FIndian_Oil_Corporation&w=77&c="
Rob Burrow,copyright,g12
Ruth Cardoso,copyright,Blatant copyvio of http://www.iadb.org/ethics/Documentos/cv_cardo-i.doc
John Ffowcs Williams,copyright,copyvio
Pete Comita,copyright,copyvio
Kathy Brock,copyright,copyvio from http://abclocal.go.com/wls/story?section=bios&id=3396499
Manga Kenkanryu,copyright,deleting to remove copyvio segments
Joint Worldwide Intelligence Communications System,copyright,deleting copyvio version
Jeff Bowden,copyright,"content was: '{{copyvio|url=http://seminoles.cstv.com/sports/m-footbl/mtt/bowden_jeff01.html}}' : no worthwhile history, according to WP:AN"
Bob Pejman,copyright,G12-copyvio
Circassian genocide,copyright,content was: '{{copyvio|http://www.circassianworld.com/circassiangenocide.html}}'
Europa Cantat,copyright,[[WP:CSD]] G11 + G12
The Hell Song,copyright,"nn song, lyrcis are copyrighted, nothing else in this article indicates notability"
Miami Coral Park High School,copyright,"No evidence of notability, no independent sources, is partly a copyvio and partly an advertisement, unimproved since its creation long ago."
Panopticons,copyright,[[WP:CSD#G12|G12]] (content copied from http://www.panopticons.uk.net/about.html with no authorization claim)
Hoplophoneus,copyright,purge copyvio
Stephen Rodefer,copyright,"[[WP:CSD#G12|CSD G12 - Copyright infringement]] - Please see our [[WP:COPYRIGHT|copyright policy]]. Find answers to common questions at our [[Wikipedia:Copyright FAQ|Copyright FAQ]], and [[Wikipedia:Contributing_FAQ#Copyrights|Contributing FAQ]]."
Smale's problems,copyright,"[[WP:CSD#G12]] blatant copyright violation, from http://mathworld.wolfram.com/SmalesProblems.html"
Jim Kurose,copyright,per [[WP:CSD]] G12
Priory Community School,copyright,removing copyrights
Scootering,copyright,content was: '{{copyvio|url=http://abacus-es.net/motorscooter/motoscooters_history.html}}'
Kipling House,copyright,"This item is unquestionably a copyright infringement taken from http://www.kiplinghouse.co.uk/, with no assertion of permission. ([[WP:CSD|CSD G12]]) [created by Jonathan.usborne on 2006-05-15, tagged by Akihabara on 2006-12-11]"
"John H. Marburger, III",copyright,content was: '{{copyvio | url=http://www.ostp.gov/html/Marburger%20Bio%20with%20Portrait.pdf}}'
Outdoor Advertising Association of America,copyright,Copyvio
Edgewater (band),copyright,Copyvio
Ringette,copyright,Copyvio from http://www.ringette.ca/Content/About/OurSport/AboutRingette.asp
Big Joe Duskin,copyright,CSD copyvio http://yellowdogrecords.com/bigjoeduskin
Kharian,copyright,"Deleting page - reason was: ""Copyright violation from "" using [[User:Martinp23/NPWatcher|NPWatcher]]"
Altar de Sacrificios,copyright,copyvio
Yaxha,copyright,copyvio
Bintulu,copyright,content was: '{{db-copyvio|url=http://www.isarawak.com.my/bintulu/info.html}}'
Amniotic fluid embolism,copyright,content was: '{{copyvio|url=http://www.emedicine.com/med/topic122.htm}}'
Sigma (band),copyright,"re-creation of deleted article, copyvio"
Web Biennial,copyright,copyvio
Hemmings Muscle Machines,copyright,"[[WP:COPYRIGHT]], [[WP:CSD]] criterion G11 (spam).  Copy and paste from advertorial on publisher's website"
Rosemary Brantley,copyright,copyvio
Neumont University,copyright,almost entirely consists of copyrighted material from pages such as http://www.neumont.edu/employers/enterprise-projects.html
Into the Ocean,copyright,copyright lyrics
Arroyo Grande High School,copyright,[[Wikipedia:Copyright problems/2006 December 8/Articles]]
Sotiris Kaiafas,copyright,[[Wikipedia:Copyright problems/2006 December 12/Articles]]
Bloodsimple,copyright,no information on copyright status
Great Dayton Flood,copyright,CSD G12
Association for Women in Sports Media,copyright,content was: '{{copyvio|url=http://www.awsmonline.org/}}'
Hind the wife of Amr,copyright,content was: '{{copyvio|url=http://www.islamicvoice.com/june.2003/child.htm}}'
Polysaccharide-K,copyright,content was: '{{copyvio|url=http://www.aha.asn.au/news/news_details.asp?nid=8121}}'
Microfracture surgery,copyright,content was: '{{copyvio|http://www.nlm.nih.gov/medlineplus/ency/article/007255.htm}}'; Note: This was a part of the copyrighted A.D.A.M. Medical Encyclopedia
"Alfred Harmsworth, 1st Viscount Northcliffe",copyright,[[Wikipedia:Copyright problems/2006 December 19/Articles]]
Al-Nahdiah,copyright,copyvio
Larry Steele,copyright,no information on copyright status
T.38 Fax,copyright,Speedy deletion - copyvio
Albert Bel Fay,copyright,Copyvio - replacing with clean version
Kings of Chaos,copyright,[[WP:CSD#G12|G12]]: copyvio from http://www.kingsofchaos.com/help.php
Gail Simmons,copyright,"db copyvio, G12, from bravotv.com website"
Carlsbad Caverns National Park,copyright,"g6, will move noncopyvio version here"
Arthur William Baden Powell,copyright,copyright violation http://www.dnzb.govt.nz/dnzb/default.asp?Find_Quick.asp?PersonEssay=5P36}}'
Brenda Shaffer,copyright,Copyvio as current. Use sandbox to create proper article and recreate when appropriate
Ice Queen (JAG),copyright,"Speedy deleted per ([[WP:CSD#g12|CSD g12]]), was a blatant copyright violation."
The Immortals (NCIS),copyright,"Speedy deleted per ([[WP:CSD#g12|CSD g12]]), was a blatant copyright violation."
Donald W. Banner,copyright,content was: '{{copyvio|url=http://www.bannerwitcoff.com/press_releases/dbannerannouncement2.pdf}}' - notified 24 Jan
Vidas de Fuego,copyright,[[Wikipedia:Copyright problems/2007 January 26/Articles]]
Christopher Kelen,copyright,G12 -) copyvio of http://www.styluspoetryjournal.com/main/master.asp?id=731
Super Twins,copyright,Created by banned copyright-infringing user
Now and Forever,copyright,Created by banned copyright-infringing user
Goong (drama),copyright,Remove copyvio from page history
"Cathedral High School (Hamilton, Ontario)",copyright,Copyvio http://www.pathtosuccess.ca/; also [[WP:BLP]] problems; no reliable sources; see also OTRS # 2007021510017367
Maria Flordeluna,copyright,"Speedy concern: This item is unquestionably a copyright infringement of http://beta.abs-cbn.com/tabid/71/xmmid/387/Article/2642/program/mariaflordeluna/xmview/2/Default.aspx, and no assertion of permission has been made. ([[WP:CSD|CSD G12]]) [created by 7"
American Association for Laboratory Animal Science,copyright,G12
Dead To Me,copyright,Copyvio [http://www.fatwreck.com/band/index/83]
Haunting,copyright,content was: '{{db-copyvio|url=http://www.questmagazine.com/hauntings.html}}'
The Hubble Constant,copyright,g12 copyvio
John Michael Botean,copyright,content was: '{{copyvio|1=http://www.romaniancatholic.org/bishops.php?botean}}'
Panther city,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week"
"Elliston, Newfoundland and Labrador",copyright,content was: '{{copyvio|url=http://www.rootcellars.com/defr/deI_history9.html}}'
Jerry Airola,copyright,Unsourced [[WP:BLP]]; copyvio; see also OTRS # 2007022310023782
WINGS2009,copyright,CSD G12
Singapore Airlines Flight 117,copyright,Delete per [[Wikipedia:Copyright problems]]
Ruth Bidgood,copyright,"Delete, copyvio"
American Council of Engineering Companies,copyright,content was: '{{copyvio|url=http://www.acec.org/about/index.cfm}}'
The Friends of Rutherford House Society,copyright,copyvio
Griffith High School,copyright,copyvio
Johnny Irion,copyright,[[WP:CSD#G12]]
MOCHIP,copyright,copyvio
George Vithoulkas,copyright,copyvio of [http://www.rightlivelihood.org/recip/vith.htm]
Backa Theatre,copyright,[[WP:CSD|CSD G12]] - copyright violation with no assertation of permission
Medieval health and hygiene,copyright,copyvio
Al-Waha,copyright,"G12, A7"
History of Himachal Pradesh,copyright,deleting the copyvio portions
Institute of Administrative Management,copyright,copyvio
Trou aux Cerfs,copyright,purge copyvio from history
Emily West Morgan,copyright,"deleting copyvio versions, will restore"
Fluoxetine,copyright,copyright infringement. let's start this article over again
Alpamysh,copyright,CSD [[WP:CSD#G12|G12]]:Copy violation from http://vlib.iue.it/carrie/texts/carrie_books/paksoy-1/chapter_1.html
Kaylin Richardson,copyright,Copyvio - www.usocpressbox.org/usoc/pressbox.nsf/mediaguide_online.swf
Reuters/Jefferies CRB Index,copyright,CSD G12 from http://www.jefferies.com/cositemgr.pl/html/ProductsServices/SalesTrading/Commodities/ReutersJefferiesCRB/index.shtml
Michael S. Greco,copyright,"Speedy deleted per ([[WP:CSD#g12|CSD g12]]), was a blatant copyright infringement. [[WP:TWINKLE|TWINKLE]]"
Karen Bausman,copyright,Copyvio
Objection (law),copyright,"Speedy deleted per ([[WP:CSD#g12|CSD g12]]), was a blatant copyright infringement."
Battle of Mergentheim,copyright,copyvio from [http://www.historyofwar.org/articles/battles_mergentheim.html]
Battle of Steppes,copyright,copyvio from [http://www.historyofwar.org/articles/battles_steppes.html]
Doubble Troubble,copyright,A7 and copyvio
David Ewing Duncan,copyright,[[WP:CSD#G12]]
Bret Anthony Johnston,copyright,G12
Ching Shih,copyright,Delete per [[Wikipedia:Copyright problems]]
Stanley Rothenberg,copyright,Delete per [[Wikipedia:Copyright problems]]
Elena Obraztsova,copyright,G12-copyvio http://www.operaandballet.com/index.html?sid=5N&lang=eng&person=45&page=catalog
HSBC GLT India,copyright,"copyvio, spam"
Lutheran Student Fellowship,copyright,"Deleting page - reason was: ""Copyright violation from http://www.lutheranstudentfellowship.org/fulltext.php?id=71"" using [[WP:NPW|NPWatcher]]"
South Australian Film Corporation,copyright,All versions of this article were copyright violations lifted from http://www.safilm.com.au/content.aspx?p=1
Roilo Golez,copyright,copyright violation
Battle of Chains,copyright,Delete per [[Wikipedia:Copyright problems]]
Leopold Moczygemba,copyright,Delete per [[Wikipedia:Copyright problems]]
Customer experience management,copyright,"copyvio, please see talkpage."
Australia 21,copyright,copyright violation from http://australia21.org.au/
Daniel Taradash,copyright,content was: '{{copyvio|http://slick.org/deathwatch/mailarchive/msg00985.html}}[[fr:Daniel Taradash]]'
Riveting machines,copyright,copyvio
Molly Henderson,copyright,"Copyright violation of a copyrighted (""Copyright © 1999-2007, County of Lancaster, Pennsylvania. All Rights Reserved."") non-GFDL web page"
Ivory Latta,copyright,Delete per [[Wikipedia:Copyright problems]]
Centrosaurinae,copyright,Blatant copyright infringement (CSD:G12) blatant copyvio of http://www.users.qwest.net/~jstweet1/centrosaurinae.htm
Billy Mays,copyright,"Copyright violation, huge BLP violations"
Tobacco Litigation,copyright,[[WP:CSD#G12|CSD G12]]: Blatant Copyright
231st Combat Communications Squadron,copyright,[[WP:CSD#G12|CSD G12]]: Blatant Copyright
City Lights (ITV series),copyright,Delete per [[WIkipedia:Copyright problems]]
NJ Burkett,copyright,Delete per [[Wikipedia:Copyright problems]]
13256278887989457651018865901401704640,copyright,"content was: '<div style=""background-color: #eee; border: 1px solid #aa8; margin: 0.5em; padding: 0.5em;"" class=""plainlinks"">'''This {{#switch:{{NAMESPACE}}|Talk|C...' (and the only contributor was '[[Special:Contributions/Alabamaboy|Alabamaboy]]')"
John Calamos,copyright,content was: '{{db-copyvio|url=http://www.outlook.standardandpoors.com/NASApp/NetAdvantage/f/displayInsightFundsEditorialStory.do?&context=InsightFunds&prefix=f&doc...'
Histiocytosis,copyright,deleting to remove copyvio text
Tor Kamata,copyright,copyvio
Mark VI monorail,copyright,"[[Wikipedia:Copyright problems/2007 May 9]]. The only pre-copyvio version is short, unreferenced, and reportedly inaccurate"
Grand National (band),copyright,content was: '{{db-spam}}{{review}}[[Image:M_97acd134ad3d495a604d11d2c2d3f1be.jpg]]Recall Records Inc. owns all copyrights to this image.[[Image:Grand_Nation...'
List of One Tree Hill episodes,copyright,content was: '{{copyvio|url=http://www.tv.com/one-tree-hill/show/16942/episode.html}}'
Hold On (Jonas Brothers song),copyright,article about single consisting entirely of copyvio lyrics
Terekhol River,copyright,purge copyvio
Reg Weaver,copyright,g12 copyright violation content was: '{{db-copyvio|url=http://www.nea.org/presscenter/neabios.html}}'''Reg Weaver''' is serving his second term as president of the 3.2 million-member [[Na...'
Nasson College,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant Copyright infringment]] of http://www.nasson.org/history.php
Cress Williams,copyright,Delete per [[Wikipedia:Copyright problems]]
World ORT,copyright,copyvio
Iman Ali,copyright,content was: '{{db-copyvio|url=http://www.views.pk/iman-ali#more-860}}<!-- Image with unknown copyright status removed: [[Image:ha-ha-ha.jpg|thumb|right|Beauty Thy...'
World Trade Center,copyright,"need to delete revision, containing verbatim copyrighted material, article will be restored momentarily"
Shawn Hornbeck,copyright,"content was: 'This is a copyvio because it a copy of a previously-deleted Wikipedia article that does not provide the attribution mandated by the GFDL.  Hence, {{tl...'"
Diane Huxley,copyright,Copyvio from official website (see http://www.twentyfouronline.com/day5/episodes/5x01.htm) & no published third-party sources anyway
Hand hygiene,copyright,G12  content was: '{{db-copyvio|url=http://www.scienceblog.com/cms/hand-hygiene-truths-myths-and-misinformation-10882.html}}{{Wikify|date=May 2007}}== Hand Hygiene Tr...'
Bloodstone (comics),copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant Copyright infringment]] http://www.marvunapp.com/Appendix/bloodstoneulysses.htm
Eileen Donoghue,copyright,content was: '{{copyvio|url=http://www.eileendonoghue.com/about.php}}'
Richard Malanjum,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant Copyright infringment]]
Get Some (2008 film),copyright,"content was: '{{db-copyvio|url=http://www.imdb.com/title/tt1023111/}}At his new high school, a rebellious teen is lured into an underground fight club. *{{imdb t...'"
Amit Kumar,copyright,"speedy G12, copied from http://www.hindilyrix.com/singers/singer-amit-kumar.html"
Jack Pritchard,copyright,"CSD G12, A7 content was: '{{db-copyvio|url=http://www.cornucopia.org.uk/html/search/verb/GetRecord/7484 and http://www.archiveshub.ac.uk/jun03.shtml and http://www.archiveshub....'"
Abdulsalami Abubakar,copyright,"yup, copyvio from the start"
Eric Himy,copyright,content was: '{{db-copyvio|url=http://www.erichimy.com/}}== '''Eric Himy - American Concert Pianist''' ==The compelling artistry of Eric Himy has intrigued ...'
Mikkel Vestergaard Frandsen,copyright,CSD G12 (copyright infringement of http://www.innovatingwithdiversity.com/12036/Mikkel%20Vestergaard%20Frandsen)
The Cross and the Switchblade,copyright,Copyvio of the book jacket (quoted [http://afrocentriconline.com/phpBB2/viewtopic.php?t=3964&postdays=0&postorder=asc&start=700&sid=fe0657a3981e05c243ddef3a68746f5d here])
Touro College of Osteopathic Medicine,copyright,"[[WP:CSD#G12]], http://www.touro.edu/med/"
Mohonk agreement,copyright,Delete per [[Wikipedia:Copyright problems]] can be undeleted when permission arrives
Brown Bannister,copyright,content was: '{{copyvio|http://www.revivalradio.co.uk/artists/brown-bannister.html}}'
Larco Museum,copyright,"content was: '{{db-copyvio|url=http://www.go2peru.com/museo_larco.htm}}Founded in 1926 by Peruvian archaeologist '''Rafael Larco Hoyle''', the Larco Museum showca...'"
Gintas K,copyright,"item is unquestionably a copyright infringement of http://www.gintask.dar.lt/, and no assertion of permission has been made. (CSD G12) content was: '{{db-copyvio|url=http://www.gintask.dar.lt/}}'''Gintas K''' ( Gintas Kraptavicius) has been participating"
Gund Institute for Ecological Economics,copyright,"G12, G11"
Tuxedo Junction,copyright,Copyvio lyrics
Roy Assaf,copyright,copyright violation; http://www.allaboutjazz.com/php/musician.php?id=15087
1997 (band),copyright,{{db-copyvio|url=http://www.myspace.com/nineteenninetyseven}}{{unreferenced|date=June 2007}}{{notability}}{{Infobox_band |  band_name ...'
MGTOW,copyright,[[WP:CSD#G12]] - Copyright infringement.
Beale Piano,copyright,Delete per [[Wikipedia:Copyright problems]]
Romita,copyright,purge copyvio
Rosemary Gladstar,copyright,Delete per [[Wikipedia:Copyright problems]]
6-sphere coordinates,copyright,delete copyvio versions. content was: '6-sphere coordinates are a coordinate system created by inverting the [[Cartesian coordinate system]].'
Abel's curve theorem,copyright,"Delete copyvio. Will restore non-copyvio version. content was: ''''Abel's curve theorem''', named after [[Niels Henrik Abel]], is a theorem that relates fixed points to the parameters of rational functions.'"
Vihangamyoga,copyright,[[WP:CSD#G12]]
German Protestant Institute of Archaeology,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant Copyright infringement]] of http://www.deiahl.de/en/about_the_gpia and other sites
Port of Le Havre,copyright,"[[WP:CSD]] General criteria, subsection 12 - Blatant copyright violation without non-infringing content worth saving."
Jamal Dajani,copyright,content was: '{{db-copyvio|url=http://www.jamaldajani.com/ http://www.jamaldajani.com/moreaboutjamal.html}}{{Infobox_Biography |  subject_name   = Jamal Dajani| ...'
Appalachian Voices,copyright,copyvio of http://www.appvoices.org/index.php?/site/av_aboutus/; content was
Igor Khoroshev,copyright,delete as copyvio from IMDB biography
Langer's lines,copyright,delete as 2nd paragraph is an obvious copyright violation from http://www.plasreconsurg.com/pt/re/prs/abstract.00006534-199907000-00032.htm;jsessionid=GzrJFy01GWFLvhmDbvY3vJLvJVyGtyv0SQCvB5DQ2Vbq12QhtpT4!-170133123!181195628!8091!-1
Project Elephant,copyright,content was: '{{db-copyvio|url=http://envfor.nic.in/pe/pe.html}}{{WildlifeofIndia}}''Project Elephant'' was launched in 1992 by the Government of India to assist ...'
Erta Ale,copyright,Copyright violation (all versions).
Shahanshah,copyright,copyvio of http://www.cais-soas.com/CAIS/Law/shah_shahanshah.htm
Kirk Whalum,copyright,"copyvio, not proper style; content was: '== Kirk Whalum : Biography ==by Matt Pierson <br />[http://www.mosaiccontemporary.com/kirkwhalum.asp '''MosaicContemporary.com'''] Copyright © 20...'"
Kuru (disease),copyright,Deleted as a copyvio. Please rewrite as fast as possible.
Auguste Aramini,copyright,copyright violation of Collections Canada
Shamrock (comics),copyright,CSD G12 copyvio of http://www.marvunapp.com/Appendix3/shamrockcoc.htm  content was: '{{Superherobox| <!--Wikipedia:WikiProject Comics-->image=|caption=|character_name=Shamrock |real_name=Molly Fitzgerald|species=[[Mutant (Marvel c...'
The Last Legion,copyright,blatant copyvio from http://www.firth.com/lastleg.html
Flag of Wisconsin,copyright,all of the history contains copyvio text from http://www.dnr.state.wi.us/org/caer/ce/eek/nature/state/flag.htm
Flag of Nebraska,copyright,copyright violation from http://www.netstate.com/states/symb/flags/ne_flag.htm and http://www.enchantedlearning.com/usa/states/nebraska/
.257 Roberts,copyright,CSD G12: Copyright violation
Arcadia Publishing,copyright,content was: '{{db-copyvio|url=http://www.arcadiapublishing.com/about.html}}<!--Excess long comment to prevent listing on [[Special:Shortpages]]......................'
Airport Homes Race Riots,copyright,content was: '{{db-copyvio|http://www.encyclopedia.chicagohistory.org/pages/1336.html}}West Elsdon & West Lawn residents played a central role in the history of ra...'
PRINTS,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant Copyright infringement]] - http://www.bioinf.manchester.ac.uk/dbbrowser/PRINTS/
Pearson Language Assessments,copyright,"Copyright violation - attempted ""rewrite"" had very small changes."
National Reserve Bank of Tonga,copyright,content was: '{{copyvio | url=http://www.reservebank.to/abt_nrbt.htm}}<!--Excess long comment to prevent listing on [[Special:Shortpages]]............................'
Sound Shore Parkway,copyright,content was: '{{copyvio|url=http://www.nycroads.com/roads/sound-shore/}}<!--Excess long comment to prevent listing on [[Special:Shortpages]]..........................'
Girl with a Pearl Earring (novel),copyright,Delete per [[Wikipedia:Copyright problems]]
Changsha University of Science and Technology,copyright,per CSD G12
Barringtonia asiatica,copyright,copyvio from http://www.naturia.per.sg/buloh/plants/sea_poison.htm
Swietenia mahagoni,copyright,copyvio from http://www.floridata.com/ref/S/swie_mah.cfm
Hibiscus schizopetalus,copyright,copyvio from http://www.killerplants.com/plant-of-the-week/20050815.asp
Tabebuia aurea,copyright,copyvio from http://edis.ifas.ufl.edu/ST613
Peltophorum pterocarpum,copyright,copyvio from http://edis.ifas.ufl.edu/ST434; restarting page with subsequent gfdl mat'l
Langtang National Park,copyright,content was: '{{db-copyvio|http://www.dnpwc.gov.np/national-parks-langtang.asp}}{{csb-pageincludes|1=http://www.dnpwc.gov.np/national-parks-langtang.asp}}{{Infob...'
Ran Nakash,copyright,blatant advert and copyvio of http://www.rannakash.com/
Ramapo College,copyright,"CSD G12: all version contain massive copyvios of http://www.ramapo.edu, better to start from scratch again"
Denis Halliday,copyright,[[WP:CSD#G12]] -- blatant copyright violation
Eton blue,copyright,del the copyvio edits: [Eton College]].==References==*http://www.etoncollege.com/et...'
South Crofty,copyright,content was: '{{copyvio | url=http://www.southcrofty.co.uk/html/history.html}}<!--Excess long comment to prevent listing on [[Special:Shortpages]]....................'
Arterial blood gas sampling,copyright,"This item is unquestionably a copyright infringement of http://www.abkhazia.com/content/view/91/75/1/0/, and no assertion of permission has been made. ([[WP:CSD#G12|CSD G12]])"
Plasma (comics),copyright,copyvio from http://www.comixfan.com/xfan/forums/archive/index.php/t-6565.html
Mathemanic,copyright,copyvio from http://www.marvel.com/universe/Mathemanic
Scaleface,copyright,copyvio from http://www.marvunapp.com/Appendix/scaleface.htm
Egeria densa,copyright,copyvio from http://pick4.pick.uga.edu; restarting page with subsequent gfdl mat'l
Chasing Pandora,copyright,blatant copyvio (CSD G12)
Geography of Kosovo,copyright,"content was: '{{copyvio | url=http://www.kosovo-mining.org/kosovoweb/en/kosovo/climate.html}}[[Kosovo]] is a region in southern [[Serbia]], which has been under [[...'"
Stephen Dunham,copyright,purge copyvio
Sydney University Musical Society,copyright,content was: '{{copyvio|http://www.sums.org.au/history}}<!--Excess long comment to prevent listing on [[Special:Shortpages]]..........................................'
Senna bicapsularis,copyright,copyvio from http://www.abc.net.au/gardening/stories/s135689.htm ; restarting page with subsequent gfdl mat'l
Glenn Worf,copyright,content was: '{{db-copyvio|url=http://www.mark-knopfler-news.co.uk/biogs/glenn.html}}{{csb-pageincludes|1=http://www.mark-knopfler-news.co.uk/biogs/glenn.html}}...'
David Spindel,copyright,copyvio of http://www.spindelvisions.com/gallery/main.php
Lonicera sempervirens,copyright,copyvio from http://www.gardenguides.com/plants/plant.asp?symbol=LOSE; restarting page with subsequent gfdl mat'l
Jose Pasillas,copyright,content was: '{{db-copyvio|url=http://incubus-online-view.com/iframe/jose-bio.php}}<!-- Deleted image removed: [[Image:IncubusJose1.jpg|225px|thumb|Jose Pasillas ...'
Paco Ahlgren,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant Copyright infringement]] - http://www.nothingbinding.com/writer/discipline-paco-ahlgren.html
Schaefferia frutescens,copyright,copyvio from http://www.regionalconservation.org/beta/nfyn/plantdetail.asp?tx=Schafrut
BLER,copyright,copyvio of http://www.mscience.com/faq13.html
Nathan Granner,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant Copyright infringement]]
Sonic Rush Adventure,copyright,blatant copyvio
"Churchbridge, Saskatchewan",copyright,"Copyvio; new page written, deleting copyvio to make space for new page"
G. Simon Harak,copyright,"copyvio of http://www.lafayette.edu/news.php/view/483, http://www.peacetaskforcenyc.org/PTFeventsharak.htm, http://www.uuforum.org/sharak.htm etc."
Giovanni Francesco Busenello,copyright,"Copyvio, this being a direct translation of a copyrighted text, and hence a derivative work. I'll rewrite this myself"
Herb Di Gioia,copyright,speedy deleted per [[WP:CSD]] G12--copyright violation. Creator advised.
Gary Denbo,copyright,spam and copyvio of http://www.hittingacademy.com/visitor/vbiogdenbo.cfm
Acute motor axonal neuropathy,copyright,Clearing copyvio page to make space for rewritten
Camp Ellis,copyright,Copyright violation
Soßmar,copyright,copyvio of http://www.sossmar.de/Wissenswertes/32.html&langu=en
Knjaževsko-srpski teatar,copyright,purge copyvio
Melco,copyright,purge copyvio
University of Washington Husky Marching Band,copyright,Delete per [[Wikipedia:Copyright problems]]
Gibraltar Methodist Church,copyright,[[WP:CSD#g12|CSD g12]]: http://www.methodist.org.gi/history.htm
Chains of Authority,copyright,[[WP:CSD#G12]] copyvio of [http://www.minhajuk.org/pdf/ijazat.pdf]
National Center for Children in Poverty,copyright,A7/G12 (copyvio of http://www.nccp.org/about.html)
Battle of Gondar,copyright,Delete per [[Wikipedia:Copyright problems]]
Jason Muzzatti,copyright,purge copyvio
Kim Watkins,copyright,WP:CSD#G12 -- copyright violation of [http://ten.com.au/ten/2634.html]
Exmoor Singers of London Chamber Choir,copyright,"g12 copyvio content was: '{{db-copyvio|url=http://www.exmoorsingers.org/about/index.jsp}}{{hangon}} The choir, eventually to be known as [http://www.exmoorsingers.org]Exmoo...'"
Atlantis SquarePantis,copyright,[[WP:CSD#G12]] original version copyvio of [http://www.tv.com/spongebob-squarepants/atlantis-squarepantis/episode/1086743/summary.html]
Western Block (North China Craton),copyright,to rm copyvio in history
Great Irish Famine,copyright,CSD G12
Uses of jfet,copyright,"appears to be cut-and-pasted from various copyrighted texts, not useful as a separate article anyway"
SKIP,copyright,copyright violation of http://www.skipkids.org.uk/gande.php
Hank Green,copyright,Speedy A7 / G12
MDs,copyright,copyvio
Brendan F. Boyle,copyright,"This item appears to be a copyright infringement of http://www.dembench.org/states/pennsylvania/brendan_boyle.php, and no assertion of permission has been made. ([[WP:CSD#G12|CSD G12]])"
