article,reason,comment
Pinafore,copyright,copyright infringement; reported over a week ago
William H. Cade,copyright,copyvio may 14
PC-BSD,copyright,"content was: '{{copyvio|url=http://www.pcbsd.org/about.html}}' and (http://board.planetpeer.de/index.php/topic,950.new.html)"
Neptune Radio,copyright,"copyvio, listed for over 7 days - intro sentence is not a copyvio, but the rest of the article is. ""Copyright Terry Cleaver and Dover Soul 2005. "", no note about a free license"
Jewellery Quarter,copyright,"copyvio, listed for over 7 days: a few sentences appear original, but it is mostly pasted from a large ammount of different sites"
Culture of Armenia,copyright,21 may copyvio
George L. Hart,copyright,21 may copyvio
Lick-Wilmerding High School,copyright,22 may copyvio
Mexican beaded lizard,copyright,content was: '{{copyvio|url=http://www.survivaliq.com/survival/poisonous-snakes-and-lizards-mexican-beaded-lizard.htm}}'
Battle of Goodrich's Landing,copyright,listed as copyvio since June 2
Dindigul,copyright,7 june copyvio
Ernest Harmon Air Force Base,copyright,"content was: '{{copyvio | url =    John W. Chambers, ©Wayne Scott Ray 1989, 2005 }}--[[User:Duk|Duk]] 18:51, 8 Jun 2005 (UTC)'"
Bill Hemmer,copyright,june 9 copyvio
J. Reuben Clark,copyright,10 june copyvio
Mad hatter disease,copyright,copyvio
Preah Maha Ghosananda,copyright,"14 june copyvio, removing from history"
Athan maroulis,copyright,copyvio june 15
Monarchist League of Canada,copyright,correcting mistake I made when doing copyvio warning
Yemen Music,copyright,june 18 content was: '{{copyvio|url=http://www.al-bab.com/bys/articles/bakewell95.htm}}'
Yemenite Music,copyright,content was: '{{copyvio|url=http://www.al-bab.com/bys/articles/bakewell95.htm}}'
Pebbles (singer),copyright,copyvio juen 19
Michael Campbell,copyright,remove copyvio from history
Dry Cell (band),copyright,"content was: '{{copyvio| url = http://www.vh1.com/artists/az/dry_cell/bio.jhtml }}--[[User:Duk|Duk]] 14:52, 24 Jun 2005 (UTC)'"
International Rescue Corps,copyright,content was: '{{copyvio|url=http://www.intrescue.org/ and http://www.tayvalleyreactuk.20m.com/}}'
Russian architecture,copyright,copyvio; has been listed at [[WP:CP]] for one week
Asurion,copyright,copyvio; has been listed at [[WP:CP]] for one week
Adaptec,copyright,"content was: '{{copyvio|url=http://www.adaptec.com/worldwide/company/companyindex.html?cat=/Company/About+Adaptec&source=home_menu}}-[[User:Splash|Splash]] 23:58, J...'"
Manuel Marulanda Velez,copyright,content was: '{{copyvio|url=http://www.consortiumnews.com/1999/072599a1.html}}'
Academy of Art University,copyright,content was: '{{copyvio|url=http://www.academyart.edu/aboutus/index.asp and http://www.academyart.edu/aboutus/mission.asp}}'
Belmont Abbey College,copyright,content was: '{{copyvio|url=http://www.belmontabbeycollege.edu/ http://www.gast-gazette.com/answerbook/Education/belmontCollege.htm http://www.belmontabbeycollege.e...'
I Put a Spell on You,copyright,listed as copyvio since July 1
Lester Young,copyright,content was: '{{copyvio|url=''http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gifpxqy5ldte~T1''}}--[[User:Andrew Norman|Andrew Norman]] 8 July 2005 11:33 (UTC)'
Kachanovka,copyright,content was: '{{copyvio|url=http://cn.com.ua/N225/freetime/journey/journey.html}}'
